All-Rounder Name,Team,Runs_Scored,Balls,SR,Avg,Overs,Runs_Conceded,Wickets,Economy
Aayan Afzal Khan,United Arab Emirates,24,28,85.71,12.0,8.0,38,2,4.75
Afif Hossain,Bangladesh,95,76,125.0,23.75,1.0,11,1,11.0
Aiden Markram,South Africa,99,79,125.32,24.75,3.0,21,1,7.0
Aryan Lakra,United Arab Emirates,1,3,33.33,1.0,3.0,24,1,8.0
Axar Patel,India,9,9,100.0,4.5,13.2,115,3,8.71
Azmatullah Omarzai,Afghanistan,11,10,110.0,11.0,3.1,28,0,9.03
Bas de Leede,Netherlands,93,117,79.49,15.5,22.0,169,13,7.68
Basil Hameed,United Arab Emirates,31,24,129.17,15.5,5.0,37,3,7.4
Ben Stokes,England,110,104,105.77,36.666666666666664,16.2,111,6,6.85
Calum MacLeod,Scotland,48,43,111.63,16.0,1.0,11,0,11.0
Cameron Green,Australia,3,2,150.0,3.0,2.0,13,0,6.5
Chamika Karunaratne,Sri Lanka,32,38,84.21,8.0,18.0,144,3,8.0
Charith Asalanka,Sri Lanka,131,113,115.93,26.2,1.0,8,0,8.0
Chris Greaves,Scotland,19,18,105.56,inf,2.0,18,0,9.0
Colin Ackermann,Netherlands,165,149,110.74,23.571428571428573,7.0,37,1,5.29
Curtis Campher,Ireland,126,77,163.64,25.2,8.0,74,2,9.25
Dasun Shanaka,Sri Lanka,78,74,105.41,13.0,3.1,24,1,7.74
David Wiese,Namibia,66,42,157.14,33.0,10.3,65,3,6.31
Dhananjaya de Silva,Sri Lanka,177,137,129.2,25.285714285714285,12.1,83,6,6.86
Gareth Delany,Ireland,69,54,127.78,17.25,23.3,185,6,7.94
George Dockrell,Ireland,100,83,120.48,20.0,8.0,56,1,7.0
Gerhard Erasmus,Namibia,52,60,86.67,17.333333333333332,4.0,21,0,5.25
Glenn Maxwell,Australia,118,73,161.64,39.333333333333336,3.1,19,3,6.13
Gulbadin Naib,Afghanistan,51,37,137.84,25.5,4.0,43,0,10.75
Hardik Pandya,India,128,97,131.96,25.6,18.0,146,8,8.11
Iftikhar Ahmed,Pakistan,114,93,122.58,22.8,3.5,28,1,8.0
JJ Smit,Namibia,39,23,169.57,39.0,11.0,79,3,7.18
Jan Frylinck,Namibia,101,93,108.6,33.666666666666664,11.0,72,3,6.55
Jan Nicol Loftie-Eaton,Namibia,21,20,105.0,7.0,1.0,8,0,8.0
Jason Holder,West Indies,42,36,116.67,21.0,10.2,49,5,4.8
Kashif Daud,United Arab Emirates,15,18,83.33,7.5,2.0,19,0,9.5
Kyle Mayers,West Indies,34,30,113.33,11.333333333333334,3.0,41,0,13.67
Liam Livingstone,England,55,44,125.0,27.5,12.0,96,3,8.0
Marcus Stoinis,Australia,126,78,161.54,42.0,9.0,87,1,9.67
Mehidy Hasan Miraz,Bangladesh,11,13,84.62,11.0,3.0,32,0,10.67
Michael Leask,Scotland,33,28,117.86,16.5,10.0,67,4,6.7
Mitchell Marsh,Australia,106,81,130.86,26.5,1.0,14,0,14.0
Mitchell Santner,New Zealand,27,16,168.75,27.0,20.0,129,9,6.45
Moeen Ali,England,57,46,123.91,19.0,2.0,9,0,4.5
Mohammad Nabi,Afghanistan,17,15,113.33,5.666666666666667,6.0,46,1,7.67
Mohammad Nawaz,Pakistan,68,64,106.25,13.6,9.0,67,3,7.44
Mosaddek Hossain,Bangladesh,38,39,97.44,9.5,7.0,64,2,9.14
Muhammad Waseem,United Arab Emirates,93,92,101.09,31.0,2.0,16,1,8.0
Odean Smith,West Indies,25,22,113.64,25.0,9.0,85,2,9.44
Rashid Khan,Afghanistan,57,32,178.12,28.5,12.0,77,4,6.42
Ravichandran Ashwin,India,21,18,116.67,21.0,19.0,155,6,8.16
Roelof van der Merwe,Netherlands,5,12,41.67,2.5,11.0,75,2,6.82
Ryan Burl,Zimbabwe,101,97,104.12,25.25,5.0,48,0,9.6
Sam Curran,England,12,14,85.71,12.0,22.4,148,13,6.61
Sean Williams,Zimbabwe,155,137,113.14,19.375,18.0,111,5,6.17
Shadab Khan,Pakistan,98,58,168.97,24.5,26.0,165,11,6.35
Shakib Al Hasan,Bangladesh,44,46,95.65,8.8,19.0,167,6,8.79
Sikandar Raza,Zimbabwe,219,148,147.97,27.375,24.0,156,10,6.5
Soumya Sarkar,Bangladesh,49,39,125.64,12.25,3.0,29,1,9.67
Tim Pringle,Netherlands,51,58,87.93,10.2,17.0,102,3,6.0
Wanindu Hasaranga,Sri Lanka,25,34,73.53,5.0,31.0,199,15,6.42
Wayne Parnell,South Africa,5,13,38.46,2.5,16.0,102,5,6.38
Wessly Madhevere,Zimbabwe,106,83,127.71,15.142857142857142,3.0,25,0,8.33
Zawar Farid,United Arab Emirates,2,4,50.0,2.0,2.5,24,0,9.6
